ordem	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CasM1	CAV1	CAV2	CBR1	COV1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	rPON1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	Vilc1	VIZ1
Erysiphales	8905	27038	20267	25936	2843	24346	19208	19652	10772	22247	2572	18139	3200	11844	36653	1227	1499	1503	1391	2782	9099	28568	13080	9055	712	5168	20639	11114	1223	6501	5418	5851	4851	1490	2120	3743	2724	8927	6827	7887	29968	2294	5881	5990	17209	22585	1576	3387	14044	8992
Eurotiales	18214	61026	88056	54460	7935	216607	46862	39866	35327	67957	8098	41472	7848	35929	76201	9169	5797	4440	2956	7053	20278	178931	35693	38278	2042	18818	106415	135511	4457	13102	27256	22140	24195	4401	13352	8807	9090	20211	14028	7231	85129	16373	14464	25327	47058	80857	4342	5760	33280	62968
Exobasidiales	1150	67131	0	8380	0	0	1903	1819	5028	2173	1068	1260	632	1397	0	17040	0	920	0	0	0	8577	1160	0	0	5718	4887	0	1564	0	531	0	0	257	0	0	0	2869	0	0	2767	0	4596	1607	0	4323	244	0	0	5296
Filobasidiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Georgefischeriales	0	2181	0	0	0	0	0	0	0	0	0	0	0	0	0	707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glomerales	1699	25844	32405	3312	7642	4547	19647	10198	4760	5840	1082	15309	8389	13330	2941	4345	1301	6941	3386	1430	13814	16682	2776	3249	7960	5177	9263	7611	4155	8760	1584	11760	4662	920	18060	8816	4280	11719	9811	14538	4053	5295	12022	12325	31614	5913	3843	7359	1280	23271
Glomerellales	10271	44131	45885	28292	6025	273090	50608	24508	28289	107453	7883	17382	4056	21992	54985	9945	2293	4121	1509	6527	7135	166366	22506	18736	1143	18369	85725	35626	12992	7738	22519	10315	21284	4094	8584	4588	6555	16395	6131	4868	47883	17392	6133	12162	56582	40085	2715	2367	14054	19273
Harpellales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Helotiales	570631	1284001	1353618	1605647	162955	664824	973078	1072048	605772	119013	83395	991476	155450	416966	2232047	23345	90916	99104	68702	141638	544658	2289310	794829	525153	19372	157674	1075086	65187	52721	380442	121694	216926	100361	50358	57475	206874	174642	510819	430598	9891	1734779	51406	255601	241488	702215	1197408	90673	215888	906325	472039
Hymenochaetales	0	0	0	0	0	0	0	0	0	0	0	1160	0	0	0	0	0	0	0	0	0	0	0	2273	0	0	1813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hypocreales	22157	89709	91104	60365	11394	3465024	75344	57604	56505	179109	12743	39440	8513	43438	154668	10872	7587	12515	3684	13128	21257	192685	43200	46995	3588	34286	156300	215223	6433	16465	41541	25573	37877	7483	20240	15297	11368	26292	26360	12126	105933	31449	13342	27739	183022	105984	8149	5199	38534	73104
Lecanorales	1017	4540	4576	3146	569	14507	2939	2397	2333	4159	0	2590	594	2921	4015	0	0	277	0	411	0	13346	2298	2905	0	0	6354	0	339	0	2559	0	1118	373	0	0	400	1013	0	0	6732	0	1044	1846	2624	3051	281	320	2026	0
Leucosporidiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lineolatales	392	0	0	1070	0	5188	0	0	0	1071	0	0	0	0	1540	0	0	0	0	0	0	2582	0	1304	0	0	2278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1117	0
Magnaporthales	2419	12390	9046	7118	1822	42949	10031	6631	7245	32768	1775	4041	876	5187	15173	0	0	461	298	2107	0	12620	5704	5397	258	5374	21719	3248	786	1699	6336	0	6020	1169	2123	1343	1617	2192	1516	0	13687	4306	1284	2850	16868	11597	583	512	3088	4173
Microascales	1427	6893	6555	4187	993	42291	5467	3674	3817	15649	1040	2894	632	3114	8649	0	0	351	0	1016	0	8935	3036	3370	0	2787	11071	3024	421	955	3374	0	2977	631	1813	0	812	1618	0	0	7443	2296	950	1817	8177	6559	432	323	2043	2563
Microbotryales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microstromatales	3880	32382	0	4963	230	0	769	20336	27309	28279	1356	10107	0	858	0	4402	0	1176	0	240	0	4317	0	0	0	1126	2629	0	6299	0	16494	3548	1156	1183	0	2771	1226	1751	1643	0	0	1350	9478	4704	46007	80590	621	0	0	68085
Microthyriales	1181	3062	5012	18444	1394	37706	2734	2572	5838	2167	1858	34665	1573	5372	28504	0	904	0	433	895	0	4866	2325	12879	0	0	5804	0	233	1413	3478	0	662	0	0	0	215	0	0	3396	13628	12329	3980	1815	4625	4754	523	1092	11846	0
Mixiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1232	0	0	0	0	0	0
Monoblepharidales	676	0	0	34178	862	2892	0	3024	0	1614	16020	5450	663	852	0	14713	8157	0	0	0	42127	0	0	0	0	59367	0	6398	621	1231	1426	0	4829	258	54630	78008	298	4333	3596	645	3164	1487	1907	1954	0	6115	4972	1787	13927	13268
Mortierellales	509	3500	4656	2390	648	2958	1942	3937	1636	1632	1747	2938	887	2608	1716	1576	3001	725	317	374	2431	3290	2789	2212	406	1691	3739	2737	455	1617	1347	2344	3015	518	1957	1735	607	1467	1985	2139	3243	1114	1447	2445	2976	4769	504	567	2101	3849
Mucorales	808	7037	6953	4028	1081	7411	3472	6783	2944	2952	4369	5071	1292	4016	2948	3590	3716	1211	500	1021	4208	9891	4810	3527	801	3239	6514	4707	795	2468	7571	5441	5660	870	3510	2289	918	3331	3140	4316	6453	3043	2591	3016	6824	8858	715	959	3797	6998
Mycosphaerellales	14380	164907	204197	167700	23320	2842687	213919	46435	202473	101163	21596	38079	34729	482934	86380	197620	4853	42089	3624	7766	23150	285324	173114	33622	13723	76302	355630	298647	35267	21872	162201	247986	91801	12166	79545	20473	12506	40733	9753	12157	412163	24113	49072	257288	37642	39128	6908	17533	207981	118315
Myriangiales	2128	31930	41747	6001	2590	25323	171947	18964	18250	19745	1972	31363	1677	6163	6112	4336	0	14601	628	901	2068	24602	6924	4551	352	4433	34136	14009	2229	3285	7226	12902	4462	1803	26370	1444	1263	8164	5059	908	8568	2007	2495	207367	9354	9230	2099	690	3347	7754
Mytilinidiales	2411	6351	9354	6353	811	23809	5037	4014	4650	4647	815	6074	1637	4881	8148	0	0	641	445	620	3317	12115	4004	5862	0	1521	11265	4163	510	1545	2401	2667	1473	377	0	0	781	2181	1742	0	10343	2487	2361	2674	4186	4899	542	760	6207	0
Neocallimastigales	0	0	2781	764	309	0	0	0	0	0	0	0	419	0	0	0	0	268	0	0	0	0	0	0	0	0	0	0	234	0	0	0	1328	221	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0
Onygenales	2544	9423	13740	7895	1302	26750	7452	5682	6287	10830	1464	7152	1297	7466	11181	1139	0	703	455	1119	3049	17366	5153	6983	271	3136	16762	5946	741	1766	4653	3439	3296	657	2363	1244	1207	2719	1843	0	13030	2673	2222	4048	6841	7903	636	874	5274	3089
Ophiostomatales	2486	12953	9941	7727	2022	54548	10203	7302	7496	28921	1879	4638	879	5643	17347	0	0	504	308	2108	0	14242	6039	4845	0	5496	22016	2127	788	1614	6062	0	5682	1067	1936	1113	1720	2489	1325	0	14662	2721	1509	2871	17289	12757	675	606	3726	4149
Orbiliales	920	3921	4847	2832	456	11164	3240	2537	2176	7993	1089	3177	430	2132	4193	0	0	0	0	455	0	8427	2239	3389	0	1962	10993	0	351	774	2286	0	1899	395	0	0	447	1035	0	0	4802	0	914	1765	2866	4123	253	278	1810	0
Patellariales	512	0	2018	1665	0	6088	1232	0	0	1275	0	0	0	1578	1846	0	0	0	0	0	0	3600	0	1723	0	0	3295	2165	0	0	0	0	0	0	0	0	0	0	0	0	2059	0	0	0	0	0	0	0	1525	0
Peltigerales	0	0	0	0	0	3872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pertusariales	0	0	0	0	0	3015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pezizales	1756	6489	9065	5470	901	12107	4972	4160	3621	7580	941	5191	877	4424	7704	0	0	566	307	734	2119	17028	3353	3951	0	2124	9804	3363	479	1448	2773	2418	2266	533	0	0	796	1974	1525	0	7986	1584	1607	2573	4214	6011	505	691	3311	2321
Phaeomoniellales	442	2282	3477	1378	0	5508	1285	0	0	2081	0	0	0	965	1726	0	0	0	0	0	0	3578	1049	1567	0	0	4271	0	0	0	2871	0	4714	474	0	0	0	474	0	0	3019	0	593	0	0	2492	0	0	0	0
Phaeotrichales	477	0	2382	2608	248	18431	1355	0	1656	1221	0	4471	384	1296	4215	0	0	0	0	0	0	2679	970	2193	0	0	2970	0	0	0	0	0	0	0	0	0	0	0	0	0	3029	1729	840	0	0	0	0	313	4872	0
