genus	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Amanita	0,001912	0,001837	0,001985	0,002681	0,001941	0,001008	0,002921	0,001098	0,002083	0,006959	0,000793	0,00132	0,001362	0,003222	0,002087	0,006454	0,002957	0,002033	0,000441	0,001602	0	0,001746	0,001321	0,005006	0,000553	0,003786	0,002855	0,00078	0,001588	0,000977	0,001208	0	0,001412	0,002211	0,000465	0,001761	0,001267	0,000494	0	0,001027	0,000468	0,001231	0,002276	0,001591	0,002276	0,001244	0,001071	0,000913	0,000694	0,001288
Amniculicola	0,020732	0,00498	0,006207	0,006718	0,004159	0,010363	0,005953	0,002491	0,003847	0,009079	0,001607	0,022922	0,013221	0,009508	0,002462	0,005726	0,002859	0,010451	0,005888	0,005074	0,01195	0,0074	0,005257	0,008321	0,005204	0,024254	0,00789	0,011334	0,005682	0,006142	0,006191	0,002834	0,002789	0,003131	0,001986	0,005451	0,00776	0,004499	0,002163	0,005676	0,00516	0,010066	0,005202	0,003369	0,002473	0,002779	0,003999	0,002001	0,010428	0,010081
Amorphotheca	0,331183	0,080428	0,0708	0,146342	0,087716	0,030634	0,07637	0,076591	0,046537	0,014974	0,006988	0,05176	0,092607	0,272812	0,003422	0,047049	0,017359	0,021217	0,031832	0,090729	0,03368	0,105724	0,119997	0,071871	0,012703	0,01811	0,083324	0,003464	0,030572	0,086149	0,014302	0,013247	0,015923	0,035089	0,004182	0,091988	0,098113	0,043422	0,002637	0,133234	0,003857	0,069772	0,0127	0,051755	0,066391	0,051338	0,091241	0,006007	0,091274	0,019845
Ampelomyces	0,004663	0,002814	0,002398	0,001339	0,001687	0,003232	0,005908	0,005009	0,001755	0,009832	0,000812	0,003928	0,002688	0,002138	0,019394	0,001209	0,001193	0,013985	0,001588	0,002281	0,005603	0,003597	0,002007	0,006223	0,001803	0,002805	0,008949	0,250477	0,014792	0,008217	0,006146	0,013364	0,001328	0,001183	0,001509	0,001801	0,034461	0,001157	0,017818	0,001653	0,007238	0,001633	0,026237	0,001305	0,000444	0,001805	0,004547	0,001429	0,002589	0,001112
Anaeromyces	0	0	0,003377	0,00053	0,000448	0	0	0	0	0,000459	0	0,000442	0	0	0	0,000698	0	0,000552	0	0	0	0	0	0	0	0	0	0	0,000429	0	0	0	0,000442	0,000477	0	0,001308	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Annulohypoxylon	0	0,001493	0,00094	0	0	0,000794	0,006668	0	0	0,018685	0,002305	0	0	0	0	0,001163	0	0	0	0,001929	0	0	0	0,000568	0	0,001388	0,000948	0	0,001504	0	0,002673	0	0,002347	0,003895	0	0	0,000483	0	0	0	0,000435	0	0,000893	0,000939	0,000931	0	0	0,000817	0	0
Antarctomyces	0,001255	0,000937	0,001255	0,00072	0,000885	0,001459	0	0	0	0	0	0	0,001062	0,001755	0	0,000426	0	0	0	0	0	0,001553	0,001467	0,000923	0	0	0,000929	0	0	0	0	0	0	0	0	0	0,001263	0	0	0,000991	0	0,000601	0	0,000442	0	0	0	0	0,001389	0
Anthracocystis	0,001843	0,007884	0	0,001902	0,000448	0	0,000996	0,000499	0,000799	0,001499	0	0,000534	0,00046	0,000446	0,007922	0,001116	0	0,001473	0	0,000468	0	0,001175	0,000445	0,000473	0,001349	0,001461	0,000975	0,001071	0,002305	0	0,000515	0,000465	0	0	0	0,001285	0	0	0	0,000437	0	0,000794	0,001209	0,000604	0,000559	0	0,000491	0,000807	0	0
Antrodiella	0	0	0	0,000819	0	0	0	0	0,000836	0	0	0	0	0,000599	0	0,003883	0,000521	0	0	0	0	0	0	0,000635	0	0	0,000653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apiotrichum	0,000935	0,001437	0,001392	0,001118	0,000525	0,0014	0,002033	0	0	0,002513	0	0,00045	0	0,000459	0,005104	0,000907	0	0,002966	0	0,001468	0	0,001539	0,000782	0,000615	0	0,001115	0,001683	0,000891	0,001462	0	0,000453	0,001999	0	0	0	0	0	0	0	0,000418	0	0	0,003162	0	0,000509	0	0	0,001332	0	0
Aplosporella	0,013226	0,005504	0,00759	0,008564	0,004445	0,014745	0,008569	0,003031	0,004504	0,022515	0,002035	0,004466	0,007567	0,011161	0,001749	0,006721	0,000561	0,003789	0,002163	0,004709	0,001797	0,025687	0,005722	0,015216	0,001181	0,002948	0,01298	0,005885	0,004648	0,002996	0,004672	0,002772	0,003587	0,005606	0,001413	0,006238	0,005294	0,001779	0,000676	0,006914	0,003914	0,00342	0,004882	0,003767	0,003707	0,004393	0,003813	0,002407	0,011864	0,001492
Apophysomyces	0,001771	0,001494	0,001701	0,002633	0,001924	0,002332	0,001809	0,002337	0,001424	0,002174	0,002482	0,000667	0,00149	0,001432	0,000985	0,001521	0,001976	0,001857	0,000419	0,001744	0,001176	0,003271	0,003762	0,001921	0,001216	0,002745	0,002307	0,001228	0,001211	0,001125	0,002585	0,000812	0,002902	0,002617	0,000911	0,001733	0,001425	0,00271	0,000413	0,002388	0,000998	0,001209	0,001134	0,001851	0,002522	0,001879	0,001386	0,002952	0,004638	0,001461
Armillaria	0	0,001373	0,000583	0,001585	0,000509	0,00122	0,001893	0,000469	0,001499	0,001077	0	0	0	0,001297	0,002036	0,001791	0,001633	0,000504	0,000429	0,000682	0	0,001023	0	0,002618	0	0,005373	0,001318	0	0,00083	0,000476	0	0	0,000498	0,00087	0	0,001225	0	0	0	0,000524	0	0,000514	0,001091	0	0,001005	0	0,00046	0,000482	0,000538	0
