order	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Bdellovibrionales	0,053939	0,050374	0,068666	0,308871	0,130668	0,022815	0,11323	0,236411	0,425139	0,093513	0,204779	0,062561	0,200951	0,032406	0,179368	0,175043	0,125362	0,01205	0,090056	0,216668	0,136173	0,048457	0,156651	0,163594	0,061186	0,076002	0,144663	0,084809	0,126028	0,115641	0,116025	0,077572	0,265999	0,111975	0,027984	0,07964	0,075256	0,088619	0,066902	0,269245	0,060405	0,211041	0,012139	0,076096	0,202909	0,060013	0,074234	0,086981	0,267952	0,118626
Bifidobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,038023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,018526	0	0	0	0	0	0,012245	0	0	0	0	0	0	0
Blastocatellales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,01135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,008986	0	0	0	0,013255	0	0,011453	0	0	0	0	0	0	0	0	0
Bradymonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,008347	0	0	0	0	0,012164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,023175
Bryobacterales	0,043167	0	0,179277	0,471029	0,145558	0,161524	0,024659	0,108298	0,186709	0,026483	0,128452	0,029282	0,009055	0,046927	0,016913	0,094755	0,310165	0,030875	0,034133	0,00889	0,069146	0,015073	0,112482	0,134262	0,06284	0,036388	0,041396	0,06075	0,033494	0,023481	0,042335	0,058388	0,177443	0,026631	0,012631	0,102899	0,021883	0,088625	0,048137	0,254885	0,045871	0,058058	0,017731	0,042883	0,115361	0,068189	0,07583	0,052989	0,253377	0,04786
Burkholderiales	14,041012	20,901113	10,344245	18,985984	10,597509	25,43798	23,377315	27,637069	30,561684	15,843038	32,098767	15,954802	20,48386	18,936396	31,005403	15,130224	12,335771	18,27732	14,056669	31,435157	18,084678	26,00037	37,265272	12,575935	21,630718	21,884653	34,76557	17,036946	12,819701	13,844678	26,846433	21,122726	34,128925	21,931177	17,842682	13,151177	20,679536	14,376196	17,84241	32,873354	25,616939	18,891389	15,653339	33,806192	25,782305	15,901334	20,522336	26,868331	18,124912	23,205592
Caldilineales	0,01055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,009232	0	0	0	0	0	0	0	0	0,010619	0	0	0,010479	0	0	0	0	0	0	0	0	0	0	0	0	0,011991	0	0	0	0	0	0	0	0	0
Campylobacterales	0,010124	0	0	0,020276	0	0,019872	0,010518	0,021444	0,027275	0	0,009747	0	0,012004	0	0,01906	0,020316	0,02289	0,018676	0,008463	0,019527	0,021043	0,012762	0,019161	0	0	0,011375	0	0,026187	0	0	0	0,019395	0,024526	0,022652	0,383813	0	0,010008	0,024252	0,01503	0,017833	0,035509	0	0,014938	0,009841	0,023147	0,010138	0	0,039168	0,010629	0,035306
Capsulimonadales	0,040201	0	0,033069	0,013339	0	0	0	0	0,009548	0	0	0	0	0	0	0	0,014135	0	0	0	0,013008	0,009279	0,05216	0,098785	0	0	0,027995	0	0	0	0,008395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,013514	0
Catenulisporales	0	0	0,021216	0	0	0	0	0	0	0	0	0	0	0	0	0,008325	0	0	0,016924	0	0	0	0	0	0	0	0	0	0	0	0	0	0,010721	0	0,010445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caulobacterales	0,570112	0,571186	0,558594	1,331559	0,341477	0,373258	0,506954	1,271489	0,668286	0,673803	1,356892	0,909091	0,905146	0,364685	3,669148	1,278708	0,776967	0,461494	1,127842	1,149797	2,269837	1,210102	0,742106	1,068901	2,869123	0,813612	0,631827	1,523011	0,865786	1,108071	1,398586	3,165347	1,281077	0,758304	2,609734	0,244819	0,539863	1,816943	7,565319	1,134217	2,822405	2,299775	1,471909	0,840168	1,666613	1,678433	0,38763	1,566686	0,810079	2,192647
