species	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Acetobacteraceae bacterium	0,005613	0,015321	0,005546	0,005518	0,004035	0,002705	0,00528	0,009883	0,006023	0,005548	0,00964	0,048339	0,024174	0,003784	0,014865	0,0133	0,006908	0,042545	0,020734	0,014543	0,065475	0,003547	0,004173	0,01699	0,040813	0,01447	0,00405	0,099896	0,016744	0,071421	0,0119	0,058749	0,010437	0,00545	0,063999	0,002101	0,072316	0,193932	0,07918	0,007949	0,15594	0,008972	0,042824	0,005889	0,009598	0,011332	0,002029	0,016486	0,006524	0,021487
Acetobacteroides hydrogenigenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,002861	0	0	0	0,00119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetonema longum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,001103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter aestuarii	0,00275	0,004202	0,001305	0,005075	0,002195	0,004844	0,00257	0,003644	0,00371	0,003882	0,005761	0,002764	0,002293	0,004905	0,002505	0,002374	0,003522	0,000721	0,002379	0,016986	0,002353	0,006423	0,005606	0,002895	0,002268	0,003737	0,004763	0,009196	0,002846	0,001674	0,051287	0,172779	0,004538	0,002755	0,002556	0,00182	0,005445	0,002655	0,014475	0,007277	0,003777	0,003035	0,000774	0,005346	0,003847	0,00346	0,002084	0,003783	0,007151	0,002978
Achromobacter aloeverae	0,001391	0,001268	0,000961	0,00271	0	0,002403	0,000777	0,002679	0,00223	0,001212	0,004356	0	0	0,000751	0	0,000795	0,001047	0	0,00068	0,001216	0,000783	0,004391	0,004239	0,00159	0,00098	0,002353	0,00297	0,000793	0	0	0,00351	0,001095	0,003386	0,000926	0,000849	0	0,001721	0,00077	0,001037	0,004623	0,000871	0	0	0,003122	0,003181	0,00256	0,000821	0,001393	0,002536	0,001657
Achromobacter anxifer	0	0	0	0	0	0	0	0,000803	0	0	0,000789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,00068	0	0	0	0	0	0	0	0,000758	0	0	0	0	0	0	0	0	0	0	0,000828	0	0	0	0	0
Achromobacter arsenitoxydans	0	0	0	0	0	0	0	0	0	0	0,000968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter deleyi	0	0	0	0,000695	0	0,001646	0	0,001776	0	0	0,001697	0	0,000684	0	0	0	0	0	0	0	0	0,000777	0,001668	0	0	0,000771	0,001662	0	0	0	0,002192	0,00092	0,001287	0	0	0	0	0	0,000699	0,001746	0	0	0	0,002086	0,001764	0	0	0,000901	0,000807	0,000828
Achromobacter denitrificans	0,000889	0	0	0,001654	0	0,000771	0,000729	0,001772	0,001523	0,000786	0,002886	0	0	0,000819	0	0	0,000748	0	0	0,001494	0,000719	0,001589	0,002427	0	0,000683	0,000973	0,001601	0	0	0	0,002048	0,000901	0,001402	0,000758	0	0	0,000743	0	0,000992	0,003312	0,000708	0	0	0,002274	0,002079	0,001893	0	0,001186	0,001132	0,001392
Achromobacter insolitus	0	0	0	0,00118	0	0,001846	0,001287	0,008509	0	0	0,002276	0	0,000702	0,001877	0	0	0,00086	0	0	0	0	0,000863	0,000775	0	0	0	0,000696	0	0	0	0,001173	0,001052	0,000828	0,000842	0	0	0	0	0,000992	0,001554	0	0	0	0,003303	0,009185	0,002586	0,000695	0,001202	0,000958	0
Achromobacter insuavis	0	0	0	0	0	0	0,000789	0	0	0	0,001066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,001333	0	0	0	0	0	0	0	0	0	0	0	0	0,00072	0	0	0	0	0	0
Achromobacter kerstersii	0,000908	0	0	0,00093	0	0,000709	0,000802	0,001911	0,000947	0	0,002406	0	0	0,000768	0	0	0	0	0	0,002305	0	0,000741	0,002905	0,003254	0	0,002085	0,002524	0	0	0	0,002621	0,00103	0,001702	0,000842	0	0,000859	0	0	0,000947	0,002524	0	0	0	0,001912	0,001995	0,000869	0,000789	0,001063	0,001338	0,001357
Achromobacter marplatensis	0	0	0	0	0	0	0	0	0	0	0,000902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,00074
Achromobacter pestifer	0	0	0	0,001153	0	0	0	0	0,001133	0	0,001178	0	0	0,001024	0	0	0	0	0	0	0	0,000707	0,002056	0,000852	0	0	0,000842	0,000715	0	0	0,001014	0	0,001531	0	0	0	0	0	0	0,000682	0	0	0	0,001575	0,000727	0	0	0	0,001	0,00074
Achromobacter piechaudii	0	0	0	0	0	0	0	0,00186	0	0	0,001688	0	0	0,000717	0	0	0,000972	0	0	0,001251	0	0	0,000865	0	0	0,000849	0	0	0	0	0,001117	0,000715	0,001933	0,000758	0	0	0,000706	0	0,00329	0,001922	0	0	0	0,001991	0,001657	0,000958	0	0,000888	0,000725	0,000899
Achromobacter pulmonis	0,000889	0	0	0,000812	0	0,001594	0,000741	0,002477	0,001464	0	0,002216	0	0	0	0	0	0	0	0	0,002839	0	0,001445	0,002152	0	0	0,00243	0,001732	0	0	0	0,002042	0,001027	0,0022	0,00101	0	0	0	0	0	0,001937	0	0	0	0,002815	0,002015	0	0	0,001309	0,000902	0,001075
Achromobacter ruhlandii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,000833	0	0	0	0,000794	0	0
