genus	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Acidiphilium	0,006113	0,007069	0,022659	0,018987	0,014922	0,007373	0,0048	0,01218	0,010622	0,004986	0,012255	0,00544	0,004599	0,005507	0,005032	0,010665	0,016709	0,003814	0,004937	0,006316	0,005962	0,007952	0,014382	0,048891	0,005396	0,00762	0,011176	0,005944	0,006788	0,004414	0,008664	0,006079	0,017011	0,00776	0,00631	0,00879	0,006053	0,00853	0,005095	0,023389	0,005224	0,00639	0,00527	0,007486	0,029362	0,01006	0,004352	0,008065	0,015802	0,006237
Acidipila	0,004269	0,00436	0,02983	0,013265	0,006449	0,431052	0,006871	0,008753	0,008793	0,004226	0,008563	0	0	0,023992	0,00125	0,007209	0,029728	0	0,003892	0,003016	0,00426	0,008912	0,014245	0,031094	0,001217	0,004513	0,007755	0,003332	0,003485	0,001091	0,012083	0,003201	0,011463	0,003796	0,002585	0,006246	0	0,150011	0,001902	0,061626	0,001203	0,004052	0	0,010291	0,108397	0,047431	0,003852	0,002945	0,011837	0,00514
Acidipropionibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,001577	0	0	0	0,019729	0	0,002476	0	0	0	0	0	0	0	0	0
Acidisarcina	0	0,001642	0,014707	0,006447	0,002542	0,103721	0,002514	0,003384	0,003734	0,001507	0,003699	0	0	0,006249	0	0,001581	0,011753	0	0	0	0	0,003036	0,004732	0,030644	0	0	0,003482	0	0	0	0,003195	0	0,003902	0,001043	0	0,001658	0	0,031573	0	0,018342	0	0	0	0,003446	0,024113	0,011898	0	0	0,004483	0
Acidisoma	0,003867	0,005016	0,021534	0,010639	0,007737	0,007915	0,004338	0,0071	0,005456	0,003659	0,007272	0,00292	0,001381	0,002752	0,003388	0,007759	0,010297	0,001501	0,001059	0,001599	0,003353	0,00928	0,010041	0,04253	0,003294	0,003229	0,008109	0,003348	0,004633	0,001363	0,006713	0,003558	0,009852	0,004254	0,002604	0,004814	0,00216	0,004541	0,003087	0,014357	0,002644	0,004184	0,004822	0,0024	0,018439	0,00732	0,001611	0,005805	0,013408	0,002832
Acidisphaera	0,021431	0,018562	0,171366	0,067841	0,046718	0,016103	0,016089	0,038037	0,023346	0,017343	0,02816	0,00952	0,006204	0,009287	0,010668	0,031974	0,034662	0,009517	0,008319	0,011536	0,010972	0,030569	0,039529	0,298229	0,010383	0,015405	0,046125	0,013546	0,016556	0,00659	0,024678	0,015081	0,070328	0,026104	0,010911	0,025704	0,010379	0,016991	0,01381	0,082944	0,010341	0,018122	0,013242	0,018627	0,100698	0,03554	0,009257	0,020323	0,051426	0,011408
Acidithiobacillus	0,005549	0,003766	0,006018	0,011204	0,005903	0,010839	0,004647	0,00942	0,011777	0,003215	0,011996	0,004766	0,005844	0,004876	0,003959	0,007728	0,011412	0,004851	0,004616	0,007222	0,006782	0,0046	0,011142	0,005419	0,005141	0,009207	0,005805	0,005845	0,003454	0,004118	0,007424	0,005362	0,011732	0,004507	0,006075	0,004508	0,006152	0,007844	0,003321	0,012924	0,005875	0,005386	0,002204	0,006922	0,010034	0,008766	0,005314	0,006915	0,010302	0,009297
Acidithrix	0	0	0	0	0	0	0	0,001045	0,001268	0	0,003009	0	0	0	0	0,004128	0,002889	0	0	0	0,001707	0	0	0,001166	0	0	0	0,001074	0	0	0	0	0,001429	0	0	0	0	0,001154	0,001268	0,003356	0	0	0	0	0,001037	0	0	0	0,001638	0
Acidobacterium	0,00637	0,003512	0,025232	0,014588	0,006416	0,388597	0,004398	0,011128	0,009711	0,003937	0,008044	0,007664	0,00366	0,022945	0,003542	0,012807	0,033582	0,003294	0,005219	0,00117	0,00907	0,006556	0,011149	0,028068	0,007915	0,008634	0,006109	0,01829	0,003255	0,008427	0,011492	0,013591	0,012094	0,003878	0,005077	0,005937	0,002127	0,14318	0,007257	0,053244	0,011395	0,006711	0,003235	0,006436	0,101906	0,046397	0,002995	0,007558	0,01266	0,010044
Acidocella	0,00636	0,006822	0,021915	0,024176	0,014728	0,010931	0,00561	0,014193	0,012289	0,005308	0,012814	0,004815	0,004821	0,005793	0,005489	0,012519	0,01645	0,003726	0,00578	0,008061	0,00672	0,00886	0,016942	0,053428	0,006266	0,006503	0,01413	0,006428	0,007037	0,005708	0,009931	0,00608	0,018376	0,00885	0,006975	0,008043	0,00766	0,009965	0,005539	0,054243	0,006282	0,00808	0,004959	0,009234	0,05037	0,010943	0,005368	0,008914	0,020078	0,006206
