species	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Cylindrospermopsis raciborskii	0	0	0	25	0	350	0	348	0	0	325	0	0	319	0	51	818	0	0	0	0	0	0	513	0	252	0	237	0	290	0	0	281	0	0	0	0	289	0	265	0	0	0	0	404	64	0	220	51	309
Cylindrospermum stagnale	0	0	514	0	0	0	0	0	0	0	0	0	0	826	0	0	1258	0	0	0	0	0	0	5796	0	0	0	0	0	333	0	0	0	0	0	35	0	0	388	0	0	0	0	0	0	0	0	0	94	0
Cystobacter ferrugineus	109	223	226	31	0	0	0	677	496	0	667	74	386	0	0	435	38	0	239	0	1272	501	346	244	0	1154	215	270	42	442	424	596	403	0	1605	0	0	672	345	530	0	399	0	369	333	161	0	0	566	1961
Cystobacter fuscus	219	760	399	689	51	1563	325	1701	1269	259	1749	311	1138	271	397	1249	634	0	384	101	2411	720	935	557	42	2041	774	905	116	986	857	1496	989	60	1820	26	492	1264	930	1153	489	850	229	462	1552	299	104	527	1429	3063
Cytophaga aurantiaca	338	1058	1377	653	154	1262	2836	857	789	520	758	137	1106	730	35	923	5093	222	355	436	2430	4798	501	2090	401	386	884	700	81	299	622	1424	356	39	0	26	576	1770	2501	2297	79	1009	891	2640	1706	137	143	0	7573	402
Cytophaga hutchinsonii	227	565	1362	428	65	833	984	371	539	0	327	129	454	436	0	678	1959	178	253	159	1603	2557	66	998	297	0	479	630	24	233	300	1260	61	0	0	25	425	1731	1259	1467	0	429	807	769	1059	87	96	0	2926	284
Cytophagaceae bacterium	492	37803	8762	1763	845	1076	5258	1577	1453	2212	1042	450	1120	1380	5775	2842	1710	1237	555	490	3157	17693	3000	5308	322	2388	26186	17407	909	915	2716	40176	1120	653	5057	246	874	751	4305	6725	4420	1554	5473	2139	1866	587	2791	3562	1054	805
Cytophagales bacterium	424	1930	739	1325	530	1265	1854	5745	2538	1281	1316	622	1986	7157	721	6791	5720	408	802	325	4424	5813	944	14207	465	1190	3460	3511	248	1548	1200	5609	1181	198	1532	234	1289	1627	2669	2676	1989	1589	2101	2662	3664	223	239	1932	2528	1175
Cytophagia bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	1017	0	43	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0
Dactylosporangium aurantiacum	100	0	226	0	0	0	0	315	791	0	798	427	0	0	384	1046	538	0	801	120	2950	0	0	268	102	467	0	777	67	2279	298	3011	457	0	5742	0	605	412	1438	0	557	1315	0	258	293	34	67	292	0	1270
Dactylosporangium siamense	178	271	228	0	0	0	0	749	1084	25	1401	616	0	0	591	1502	650	0	1171	189	4111	0	0	483	119	795	213	914	113	3468	555	3789	703	0	7408	0	700	520	1853	0	821	1846	0	417	509	43	94	720	328	2061
Dactylosporangium sucinum	110	0	264	0	0	0	0	537	1329	0	1012	560	0	0	596	1709	1008	0	1054	158	4022	0	0	528	133	619	508	909	141	3201	508	3593	655	0	7205	0	656	561	1754	0	675	1773	0	359	429	77	66	629	237	2068
Daejeonella lutea	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	568	531	0	214	0	792	714	0	0	50	0	226	509	0	0	241	970	0	0	0	0	0	27	443	0	0	213	409	0	0	0	0	0	65	0
Daejeonella oryzae	35	0	0	0	0	0	0	0	0	0	45	51	32	0	0	690	667	0	137	0	751	1013	26	226	47	0	0	773	0	0	0	841	0	0	0	0	236	301	410	0	0	262	637	0	0	0	0	0	79	0
Daejeonella rubra	33	0	0	0	0	0	0	0	0	0	67	117	0	271	0	822	745	31	176	0	976	547	0	0	131	0	0	680	29	258	247	968	0	0	0	0	306	303	476	320	78	326	608	0	0	0	0	0	371	230
Dankookia rubra	321	1122	1897	840	261	979	349	2642	495	512	1199	270	35	397	532	2143	1149	881	120	149	956	451	673	6826	213	1026	1000	3757	171	1162	1235	5507	2249	164	899	91	625	965	12373	2425	15397	761	2879	787	3957	392	31	3744	914	493
Dasania marina	164	625	0	961	0	0	0	1878	337	25	959	0	434	0	1651	2054	266	0	0	287	1226	0	261	0	0	2371	0	0	40	0	1649	583	352	0	447	0	84	130	0	298	0	1340	450	316	1731	475	0	863	840	1124
Dechloromonas agitata	197	0	0	261	22	1660	91	1185	333	273	744	41	0	52	1089	475	466	1087	39	49	2011	0	350	0	154	425	0	2998	0	49	529	1282	1732	31	3159	0	1728	3784	974	685	3414	57	1920	638	2373	169	35	5055	313	807
Dechloromonas aromatica	431	725	229	686	180	3218	524	2537	833	842	2779	188	565	454	2307	1285	1382	1428	152	199	4997	741	1008	0	396	1254	1391	8584	63	461	1551	3180	5589	139	6824	109	3983	8161	2415	2149	4464	443	2963	1176	4238	326	91	6382	759	1640
Dechloromonas denitrificans	81	0	0	0	0	411	0	251	35	0	518	0	0	0	486	0	320	258	0	0	845	0	317	0	67	0	0	1498	0	0	357	841	1367	31	878	25	1021	1415	632	521	1101	0	498	0	1146	68	24	1490	0	355
Dechloromonas hortensis	89	0	0	0	0	809	0	644	0	0	485	0	0	0	459	39	350	308	0	0	764	0	233	0	100	0	0	1495	0	36	450	816	1635	34	1019	0	651	1300	534	493	1110	0	496	0	1256	73	0	1362	0	412
Dechlorosoma suillum	1730	6692	2917	1275	258	2202	951	4691	1965	1489	23107	1353	4309	1985	5135	32449	7432	255	9934	366	55196	2713	1149	3542	2814	3945	1812	9835	956	2368	2919	39914	2330	150	109807	212	3859	5955	4398	4764	1284	42827	7055	2385	6294	916	223	1704	3168	13540
Deefgea chitinilytica	0	1347	0	0	0	0	63	296	0	0	260	44	375	48	0	0	63	0	0	86	227	0	0	0	0	0	0	0	0	0	0	0	273	0	243	0	0	0	0	434	0	46	0	253	0	0	40	247	222	46
Deefgea rivuli	79	3149	0	232	0	951	156	848	487	22	385	75	758	429	247	566	462	38	0	204	435	622	316	0	43	267	719	356	85	0	308	293	645	66	0	27	230	0	0	1032	0	97	0	1020	678	0	98	279	1053	44
Deferrisoma camini	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	506	0	0	0	0	0	0	0	0	221	0	0	296	0	0	0	0	0	0	0	27	0	0	0	411
Defluviicoccus vanus	400	0	484	890	72	1011	0	913	429	0	1190	126	0	0	0	913	581	117	52	47	634	0	891	708	34	943	448	661	0	389	605	871	1114	36	698	0	466	643	345	1882	382	335	307	340	2235	123	22	1723	646	737
Defluviimonas alba	0	901	0	0	0	0	462	820	287	0	463	175	523	60	419	679	0	92	108	101	731	0	0	0	193	323	0	1358	91	476	414	809	380	44	3098	0	1732	862	325	0	657	515	967	307	298	62	0	1099	215	62
Defluviimonas aquaemixtae	40	607	0	0	0	0	299	695	0	0	438	217	457	45	351	823	291	213	68	81	837	0	0	0	257	349	0	1559	92	586	288	1306	258	39	4879	0	5762	2365	416	0	1312	514	2310	0	292	108	0	1109	0	364
Defluviimonas denitrificans	99	1294	0	0	21	0	662	1349	392	0	669	359	864	99	725	1097	425	559	161	147	1302	0	0	0	387	674	0	2789	169	1075	411	1972	531	86	9476	0	7683	3738	597	0	2809	837	3528	628	866	107	0	2322	294	576
Dehalococcoidia bacterium	300	723	629	442	25	944	0	2058	695	23	850	176	581	265	1059	2310	2115	122	176	78	1954	668	418	1288	294	823	483	4109	115	632	707	2631	772	93	1416	24	496	1396	1131	957	901	773	502	434	1577	327	80	1555	732	1782
Deinobacterium chartae	54	0	0	27	0	0	0	0	534	0	594	0	0	0	0	48	629	0	57	37	507	611	248	727	0	272	0	0	0	0	301	0	250	0	0	0	0	0	0	304	0	0	0	0	0	0	0	0	234	52
Deinococcus actinosclerus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	0	0	0	0	0	0	0	0	0	0	0
Deinococcus aerius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1445	0	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	0	0	0	0	0
Deinococcus aerolatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	769	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0
Deinococcus aerophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	923	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0	0	0	0	0	0	0	0
Deinococcus alpinitundrae	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	289	40	0	0	0	4944	0	1325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	438	209	0	0	0	0	0	0	0	0
Deinococcus apachensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1055	0	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0
Deinococcus aquatilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396	0	0	0	2014	0	594	0	0	0	0	0	0	0	1561	0	0	0	0	0	0	1537	0	2753	0	283	0	0	0	0	364	0	0
Deinococcus aquiradiocola	51	0	0	0	85	379	2433	268	403	1881	478	0	0	830	0	0	4765	87	139	21	302	98989	548	26088	0	343	3605	0	808	0	451	1617	418	88	378	72	0	0	4592	415	759	677	0	1329	640	35	0	230	552	0
Deinococcus budaensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	962	0	323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0
Deinococcus cellulosilyticus	68	0	0	0	0	0	0	259	263	0	618	0	0	0	0	32	282	0	47	25	249	326	361	332	0	341	0	0	0	0	303	326	382	0	0	0	0	0	90	0	0	0	307	0	263	21	0	229	0	64
Deinococcus deserti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	610	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	0	0	0	0	0	0	0	0	0
Deinococcus detaillensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1798	0	516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deinococcus ficus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1150	0	505	0	0	0	0	0	0	0	594	0	0	0	0	0	0	2456	0	509	0	0	0	0	0	0	469	0	0
Deinococcus fonticola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deinococcus frigens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1003	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0
Deinococcus gobiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1320	0	416	0	0	0	882	0	0	0	0	0	0	0	0	0	0	0	0	790	0	0	0	0	0	0	0	0	0
Deinococcus hopiensis	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	2037	0	682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	0	0	0	0	0	0	470	0	0
Deinococcus humi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	1377	0	400	0	0	0	0	0	0	0	402	0	0	0	0	0	0	562	0	804	0	0	0	0	0	0	0	0	0
Deinococcus indicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	545	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	374	0	0	0	0	0	0	0	0	0
Deinococcus irradiatisoli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2357	0	630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deinococcus koreensis	0	0	0	0	0	0	0	0	0	26	39	0	0	0	0	0	421	38	91	0	0	2892	0	857	0	0	0	0	0	0	0	1083	0	0	0	0	0	0	357	0	2429	0	0	0	0	0	0	274	0	0
Deinococcus malanensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	551	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
