genus	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Ceraceosorus	113	4602	0	694	0	0	134	291	443	293	25	53	163	144	1228	44	0	114	0	85	0	848	167	22	55	448	440	1585	218	0	0	196	0	18	0	16	18	0	0	234	0	373	236	219	452	0	27	675	0	0
Ceratobasidium	23	202	129	174	13	0	41	0	154	2712	0	0	20	485	27	133	288	21	0	31	0	3251	1194	6157	0	0	2631	0	0	16	0	0	0	21	0	18	0	6557	559	0	0	0	174	0	366	0	0	1149	102	0
Ceratocystis	197	1252	1358	605	176	5048	1195	611	691	4180	125	112	581	1276	0	612	0	80	0	167	0	1550	584	568	47	649	1910	419	94	185	859	446	759	155	222	127	283	166	0	1304	259	71	448	1430	1233	57	71	551	255	33
Cercospora	1189	10427	9808	40838	3971	42957	12177	2699	50694	6739	1032	7635	126236	8548	7648	2366	326	6712	450	475	1614	18232	39938	3562	644	7334	41651	22243	4053	3210	60228	12903	4130	1049	5260	1295	3460	1237	843	7298	1623	3660	17279	3178	2636	460	984	5158	2969	3548
Chaetomium	1525	7898	4012	4427	1517	34150	5696	4645	3216	13155	856	453	2418	12862	210	2082	295	241	148	1490	841	6296	2954	2279	125	3029	10702	968	508	897	2587	611	2571	516	1086	874	1366	594	379	8802	1288	671	1288	12007	8129	319	314	1812	2192	573
Chalara	15798	32877	27865	44295	3792	22301	25741	29085	18009	2409	2003	3739	7856	61374	633	26764	2644	1180	1800	3409	12568	41698	22173	14862	533	4109	26929	876	1396	10272	3290	4738	2818	1347	1436	5387	13454	12060	106	48888	1651	6529	3850	18512	32263	2535	4460	2178	25281	5416
Chlorociboria	10287	23327	18883	28821	2767	11936	16641	19557	11290	2255	1490	2826	10458	39844	471	18022	1351	855	1266	2679	8308	30331	13973	10075	369	2846	20615	956	945	7042	2197	3827	1723	924	1156	2840	9376	7687	78	34348	957	4731	2937	12622	21986	1637	2955	1498	16225	3526
Choanephora	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Choiromyces	40	203	182	227	0	421	0	0	0	0	0	29	35	329	0	0	0	0	0	0	0	313	0	0	0	0	328	0	0	0	0	0	0	0	0	17	15	0	0	189	0	0	0	0	0	25	0	0	25	0
Chrysomyxa	0	0	0	0	0	0	0	0	0	0	0	0	163	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chrysoporthe	143	1005	1437	292	93	1470	1718	355	775	9117	267	0	372	352	0	608	0	40	0	243	0	827	631	103	0	906	2122	0	107	0	1356	0	1510	294	0	141	36	0	0	254	0	0	655	1312	1205	0	0	817	0	50
Chytriomyces	133	670	1814	2350	214	228	351	1774	586	686	1002	442	534	185	2396	1421	1472	89	58	234	626	468	3304	442	120	983	1374	2247	226	761	917	526	5419	352	143	417	310	219	475	2947	309	658	189	919	3468	242	109	2882	608	511
Cladobotryum	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cladonia	61	504	460	201	35	2560	338	0	277	1198	39	34	410	261	0	0	0	19	0	45	0	640	128	209	0	133	666	0	56	0	355	0	199	54	0	20	16	0	0	516	0	170	255	134	253	0	0	0	126	0
Cladophialophora	901	3116	3875	2218	330	10246	2973	1851	1852	2683	435	344	1585	3155	486	2015	548	256	156	268	1470	5695	1847	5014	61	1468	4934	1945	261	511	1158	1266	896	204	975	334	820	557	439	3894	873	890	1601	2014	2642	244	294	1074	1651	452
Cladosporium	80	739	899	189	124	4700	605	161	164	557	0	139	663	719	327	25	0	178	72	52	151	3515	173	251	188	242	2042	9758	92	172	539	1956	171	26	716	123	36	0	273	902	375	201	1229	0	0	0	36	573	239	40
Clathrospora	307	992	1278	605	90	1904	1070	504	424	1403	51	406	728	889	705	537	267	300	86	101	751	2126	491	868	97	335	3321	7646	153	728	750	2207	430	85	491	129	676	627	565	986	923	264	1067	829	627	63	108	395	456	25
