"qbr"	"ihf"	"shadow"	"COD"	"DIN"	"P.PO4"	"ph"	"cond"	"mean_light"	"Artificial.500m."	"Agriculture.500m."	"Pasture.500m."	"Natural.500m."	"LUI_500m"	"mean.Depth"	"mean.Velocity"	"Width"	"Discharge"	"N.NH4"	"N.NO2"	"N.NO3"	"Tmean"	"Tmax"	"Tmin"	"TCV"	"DOmean"	"Domax"	"DOmin"	"DOCV"	"Artificial.100m."	"Agriculture.100m."	"Pasture.100m."	"Natural.100m."	"LUI_100m"	"Artificial_subasin"	"Agriculture_subasin"	"Pasture_subasin"	"Natural_subasin"	"LUI_subasin"
"bacteria"	-0.249411113351237	-0.0142445591743493	0.0535526683402923	0.0908793352537405	0.176900866774986	-0.033122635462938	0.111099662076051	0.237097420556679	-0.195671592756499	0.297735130214862	0.0535931763770209	-0.206997775606285	-0.190397492889214	0.241334882761764	-0.146888649274834	-0.0785372375882925	-0.246323779124197	-0.236904099734834	0.00689578742529112	0.0840453576530347	0.190293048805743	-0.0694201011106084	-0.0597801533829874	-0.0726904596163349	0.0042197758142274	0.0707927590817028	-0.0149061439558346	0.104888365266769	-0.0819421107904984	0.310239087066993	0.0627598529298097	-0.286134316831193	-0.164100755754233	0.274004043072137	0.159869474947736	0.221272789360112	-0.141082724700539	-0.193067440557002	0.201590871079711
"fungi"	0.396574975406861	-0.037823821173587	-0.0264239512714471	-0.255177575232079	-0.372356608032451	-0.159312481668288	-0.264501691488982	-0.352334102066241	0.285834323703722	-0.44773279929683	-0.221205473555947	0.199429803126835	0.378295338455257	-0.448894563795878	0.0314751023312967	-0.182817461539919	0.0056231904751847	-0.021311906343807	-0.137073236214886	-0.276590071326656	-0.246594246995204	-0.216986349898393	-0.164302811056856	-0.235095781817624	0.097334361320059	0.162068323474591	0.171648462231127	0.156890994326025	-0.0779052531201971	-0.402565035456389	-0.120191447173963	0.184417682302995	0.300153079624424	-0.389719848242065	-0.422123044598765	-0.31587932045834	0.126703599103062	0.144339448389491	-0.418685661689473
"shannon_bact"	-0.00726605524303131	0.000863795374200656	0.0857692284844459	-0.141015882812471	-0.0314014977839772	-0.0991802114560759	-0.0314157257548869	-0.0246799584988539	-0.0853956709211777	0.00427311001799568	0.00215840030048969	-0.480856350752451	0.0183290603253227	-0.0130480712751832	-0.172792954098863	-0.234243394448027	-0.181244295711988	-0.191217404045776	-0.0850689042494758	-0.0137032396924918	-0.012956593992956	-0.193002458504899	-0.181860622157279	-0.185918948835313	-0.0140762056434117	0.150691269747865	0.0553885564154176	0.153585525083617	-0.111625903578111	0.012145444480775	0.0131610160006078	-0.391349078345696	0.0114551992586675	0.00505601777906132	-0.077839873415807	0.0223280620952724	-0.276076373425568	-0.016072702290462	-0.0477485812893012
"simpson_bact"	-0.106150134936945	-0.0908435776133189	0.0800398127830307	-0.192494785026562	0.0210933802067706	0.0229948715035618	-0.118790356554679	0.0142100651164274	-0.0462030913641353	0.0442228940815179	0.0598660283771071	-0.620798450737743	-0.0085450690717365	0.0448490406494317	-0.0794548912241416	-0.286729407827468	-0.0726206334403138	-0.125426588391116	0.0092514819342233	0.0198881117248011	0.00762813337988278	-0.0781093505908065	-0.0941598987260022	-0.0572795589561708	-0.0566526836909206	0.08926310209296	0.0188232976181684	0.0822298411345044	-0.0979972042607255	0.0333036389572234	0.110049474835333	-0.489898022745535	-0.0792046678929238	0.0870110778551128	0.0144579173988197	0.0144577403331515	-0.290124919621856	-0.0281248244169768	0.0122037820944978
"J_bact"	-0.00726605524303144	0.000863795374200582	0.0857692284844458	-0.141015882812471	-0.0314014977839771	-0.099180211456076	-0.0314157257548869	-0.0246799584988539	-0.0853956709211776	0.00427311001799602	0.00215840030048971	-0.480856350752451	0.0183290603253224	-0.0130480712751829	-0.172792954098863	-0.234243394448027	-0.181244295711988	-0.191217404045776	-0.0850689042494757	-0.0137032396924915	-0.012956593992956	-0.193002458504899	-0.181860622157279	-0.185918948835313	-0.0140762056434118	0.150691269747865	0.0553885564154176	0.153585525083617	-0.111625903578111	0.0121454444807752	0.0131610160006077	-0.391349078345696	0.0114551992586674	0.00505601777906144	-0.0778398734158069	0.0223280620952724	-0.276076373425568	-0.0160727022904619	-0.0477485812893011
"margalef_bact"	-0.286922256200671	-0.023909729309259	0.0404904156977297	0.114242169057779	0.244701085565929	0.0134563194464527	0.159151719234768	0.247309872325066	-0.222856286968014	0.299539855298257	0.108399490629856	-0.196948983837983	-0.229795698747804	0.274961671401935	-0.105445588379006	-0.0714504424671317	-0.158808507504113	-0.16820622983633	-0.0122677225396987	0.101825666520001	0.238464717765982	-0.0236068404679311	-0.0341584928600974	-0.0182876713082865	-0.0160669999577069	0.0282398852182222	-0.0644024270797034	0.0538108811484574	-0.0661364287707137	0.321988138356373	0.133693587361543	-0.245639245624602	-0.248514542686439	0.3350614336733	0.21649990829468	0.285944975744617	-0.136704794356229	-0.220970824831025	0.266956189828218
"Bray_Curtis_bact"	0.000402665673053374	0.00911084517072433	0.0339696374172353	0.039167820739725	0.157754870228852	0.195064098111551	0.188112888146664	-0.0532022266873381	-0.0314577921566287	-0.090229688265319	0.16470656141632	0.13082389446858	-0.0719644126931161	0.0347238277682485	0.218535932194541	0.116894479303728	0.415293085620513	0.376011097928409	-0.067840896921766	-0.0211408019454379	0.0816267407063015	0.179268603086051	0.110406777974013	0.212942483136878	-0.0803156118704137	-0.106408832180668	-0.1062198619694	-0.144925398970467	0.0341809205090506	-0.0517697850289957	0.231134674698673	0.240588183511221	-0.265144931877898	0.133302444812516	0.155622733785588	0.123795017277142	0.0670829941964117	-0.0658801318050737	0.158678013804697
"shannon_fung"	0.275167834152054	-0.154636154828064	0.0467768958139462	-0.019104568195015	-0.160532716545932	-0.242508800108462	0.00496844783452095	-0.109383282192619	0.0555203603492402	-0.311685060409904	-0.177731515548392	0.0214426995638326	0.288950036577672	-0.330099123478856	-0.135817522187202	0.0743629088808227	-0.158298000376871	-0.128246333271856	0.0497607577736259	-0.132919348357212	-0.115193354822448	-0.22699247984352	-0.185851534704852	-0.244981403537492	0.10708140702839	0.121567917982	0.0892486298830401	0.117650057122711	-0.0120620623881754	-0.389996400972219	-0.098853298777313	0.120158857458612	0.303984219410074	-0.367060176518173	-0.204662687334997	-0.164054511803223	-0.025532292006816	0.0888172417085331	-0.212683406713557
"simpson_fung"	0.234374679045306	-0.189114613016004	0.0606216365266695	0.0442890348006282	-0.113566089733345	-0.346337612196126	-0.0282831153215896	-0.0511971952627917	0.0755711300602146	-0.20600280570582	-0.112871840762304	0.0377627803834122	0.196806688162135	-0.214458834651753	-0.0593021625750281	0.1089049811872	-0.0303169684995406	-0.00884224986505443	0.124052898658134	-0.0116680037324892	-0.130796268789425	-0.0880594294004245	-0.0782184287050632	-0.084498751152893	0.0194423164241106	0.0284634951926943	-0.0192024835281271	0.068113297962043	0.0217632928416036	-0.389907051632753	-0.00905192418735558	0.086703255287642	0.214323487837078	-0.304129570212435	-0.149438967632774	-0.1081455152165	-0.0232737559268953	0.114413443220762	-0.15153976280503
"J_fung"	0.275167834152054	-0.154636154828064	0.0467768958139463	-0.019104568195015	-0.160532716545932	-0.242508800108463	0.004968447834521	-0.109383282192619	0.0555203603492401	-0.311685060409905	-0.177731515548392	0.0214426995638326	0.288950036577672	-0.330099123478856	-0.135817522187202	0.0743629088808225	-0.158298000376871	-0.128246333271856	0.0497607577736259	-0.132919348357212	-0.115193354822449	-0.22699247984352	-0.185851534704852	-0.244981403537492	0.10708140702839	0.121567917982	0.08924862988304	0.117650057122711	-0.0120620623881754	-0.389996400972219	-0.0988532987773131	0.120158857458612	0.303984219410074	-0.367060176518173	-0.204662687334997	-0.164054511803223	-0.025532292006816	0.0888172417085333	-0.212683406713557
"margalef_fung"	0.356198284716917	-0.0641139995275518	-0.00994647260416794	-0.213239859983292	-0.2955003202026	-0.0924830794257709	-0.181642124129251	-0.339339052116066	0.222196769692536	-0.419383185522693	-0.17044308884823	0.222828214802932	0.321391138392523	-0.397621207818181	0.0883786360057471	-0.125890659683835	0.111159464609527	0.076678270442814	-0.130603410221651	-0.244524813518262	-0.202171084459511	-0.152339338687248	-0.125003008268679	-0.158267200512289	0.0690293806704298	0.119527303003996	0.110534103893724	0.109668905722236	-0.0721553262360316	-0.384856148460559	-0.0526410203234252	0.253560728533821	0.203022601662843	-0.325475943119174	-0.348564595680113	-0.23655402744923	0.158323830173954	0.100531633575739	-0.33487382059964
"Bray_Curtis_fung"	-0.274422781581097	-0.0363084378113333	-0.0223328993471567	0.177327833466469	0.343333423461092	0.221978319833815	0.319112878520853	0.225093915422976	-0.261868672280174	0.239229889348133	0.25181121910939	-0.0439436118056143	-0.314808399788477	0.32003005282921	0.140632894773263	0.1808978224967	0.272148475771269	0.246860731128571	0.0296990606699604	0.246040787890062	0.213520453542067	0.27537051765714	0.182763933554799	0.313077214322991	-0.137168541779291	-0.181597939174552	-0.207624460317634	-0.200457532231376	0.0702455780363211	0.201551529881975	0.271828455939591	0.0604930621182947	-0.395705095677138	0.351386352505108	0.349794866472319	0.333249002517731	-0.00366448429139703	-0.190807013912548	0.376601412356721
