genus	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Franconibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2294	1038	0	995	0	0	0	1934	47	0	0	0	0
Frankia	3357	36121	23709	14065	3696	29307	15287	24447	19680	11242	15033	8857	62498	11120	16355	32040	12797	8288	7394	4009	38035	14198	10386	11357	5045	20711	17196	40025	3118	20361	10996	43424	17224	3672	44053	2109	21497	12563	32859	17890	13582	27699	19250	26255	22164	3228	12845	62071	10066	21739
Frateuria	183	3795	1308	2098	275	5704	540	2466	1390	582	3467	109	473	574	479	1450	832	0	244	257	1516	10555	2730	1821	141	1701	4127	1125	105	551	6158	1630	2131	78	1435	87	751	1478	2326	4892	776	859	0	3106	3636	268	97	1619	2422	1003
Friedmanniella	138	453	0	0	0	0	0	752	46	0	506	94	48	0	419	926	836	218	242	54	878	397	0	384	134	88	0	9762	326	567	776	7300	561	0	2635	0	725	464	4820	0	5472	482	913	0	424	39	0	1378	0	446
Frigidibacter	0	553	0	0	0	0	321	395	0	0	387	191	497	0	360	177	0	0	57	120	403	0	0	0	164	0	0	1290	103	510	0	436	0	0	2650	0	1578	927	0	0	647	481	779	0	0	0	0	1003	0	0
Frigoribacterium	266	6357	2839	491	110	0	5888	847	861	1168	877	573	61	0	6515	796	906	1005	302	893	6582	2953	753	2050	651	1771	2763	121845	2260	1263	8697	255171	590	95	35418	73	1199	0	15504	2472	13219	655	4912	472	425	176	6631	14923	726	1269
Frigoriglobus	484	1268	13718	6115	712	2974	949	6180	3221	807	2477	1070	652	2713	1045	6414	10382	311	461	132	7062	2137	2136	14997	601	1851	4345	6623	334	4950	2299	6565	1931	159	1722	283	836	3453	6026	3611	1099	2233	1495	2075	6644	610	204	3206	4527	3068
Frondihabitans	1705	65698	38651	3217	3128	0	43835	888	1866	7366	1358	833	59	0	5855	1879	3196	1157	1187	1265	7036	24590	2663	3221	258	18243	30788	1832	6352	1108	21584	8788	416	743	25755	1890	2189	0	1754	21987	4293	2206	72554	899	1170	1483	1487	2651	754	3249
Fuerstia	84	0	0	0	0	0	0	1385	455	0	788	288	51	0	0	1503	1450	0	70	0	1460	0	0	743	253	0	0	1801	38	880	537	1548	70	0	2059	0	0	834	536	847	1092	535	347	468	842	142	0	391	492	680
Fulvimarina	58	868	545	782	154	477	432	1030	649	0	795	226	86	456	457	937	1338	0	122	42	1298	365	475	740	172	794	372	1628	97	750	654	1715	567	0	2200	66	1401	978	681	1460	1094	591	0	392	1759	141	51	939	885	705
