order	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Micrococcales	33038	295633	201198	39419	19873	128804	156424	117252	90111	47469	85173	46084	71101	34134	85738	152151	113834	52716	49782	25817	222866	181711	39030	241861	47619	139456	130198	960174	44377	139589	358398	2172431	92361	12311	551906	11195	156405	107133	1566487	227695	774379	106031	245116	95521	104545	19712	39576	355269	64802	105878
Micromonosporales	67750	136477	27095	8500	1767	21745	24381	56548	139737	25981	362930	658732	68813	11281	625635	473777	65731	3268	817948	146156	3686721	29669	12572	44229	43181	389136	34232	354245	121515	3827922	102392	2394932	73980	3642	6351614	723	174725	322220	885351	25457	152429	1281147	99688	93813	68066	16688	30100	241078	30044	1827121
Micropepsales	537	0	4008	4546	0	16114	0	12387	4462	338	6676	0	0	0	0	7858	7046	0	0	0	3264	0	3709	8380	526	3312	0	2672	0	0	8103	6838	6458	0	0	0	0	13200	9315	8622	3001	3520	0	3495	24395	10864	0	3185	3986	3118
Motilibacterales	446	0	0	0	0	0	0	0	0	0	511	0	0	0	0	731	897	0	0	0	0	0	0	0	0	0	0	6999	0	0	0	7440	1252	0	10249	0	4367	0	5839	0	3103	0	0	0	2831	0	0	0	0	0
Myxococcales	34468	55763	98438	111894	12614	147805	44071	295158	190331	35017	203880	45715	206896	47941	58548	255308	159509	4815	63428	10375	477162	55235	62560	82634	36956	393759	68274	156192	24435	151992	118953	295863	187008	6237	357861	8631	59983	262003	151103	146213	70538	134231	26775	123442	264306	60802	18670	106843	265663	531384
Nakamurellales	2994	0	12368	0	0	0	0	3979	0	0	3368	1352	0	0	0	6406	4053	2864	1402	0	3778	0	0	3880	1069	3887	0	18025	766	4208	8114	46376	5334	319	9924	0	4954	3740	44687	0	80265	5643	8363	0	0	322	0	33173	0	2729
Neisseriales	9505	91730	84080	85709	7159	254430	47455	156956	59867	29965	151559	10470	35458	51657	51100	63099	38296	8302	9073	14409	67997	92750	123818	31811	9870	73024	166287	75014	4369	22030	81379	74591	180380	10272	70176	7634	55677	38372	16355	271182	101289	28842	24647	160302	295534	14284	8697	183779	69029	41720
Nevskiales	6264	21807	41277	62303	5453	76072	13333	71191	70361	10355	84775	5406	15980	18774	14048	61828	42588	1800	11810	4511	97585	28777	34744	28299	4940	46665	35940	85922	3888	15511	37588	38489	37987	2306	50972	2696	17995	29658	14573	84706	18454	26931	9467	45898	105039	9880	4632	32963	69476	48164
Nitrosomonadales	42442	185060	77053	93186	20870	391628	83595	210150	169623	41937	191869	52146	160168	113269	107941	192094	142947	10407	59974	42988	295961	180187	130359	43298	65136	138535	152064	158589	17850	68162	106434	113162	168956	15390	88127	12144	119036	228830	59642	246773	267235	121217	84945	162897	364407	19665	24606	183192	121258	110711
Nitrospirales	4016	3223	3382	4918	275	11300	0	58416	8696	320	8166	2049	5191	0	13893	59165	25375	4303	3422	804	22428	7680	4501	8888	12661	10272	6350	69205	1647	5047	8915	28710	9370	372	15610	0	308692	280950	10140	11261	42079	7026	13117	4459	16002	3827	274	20907	6747	22916
Nostocales	3840	41914	120523	10768	4335	15355	27453	48562	11724	12231	16827	9227	7503	146049	7231	51347	262086	2492	3702	1694	18977	73216	7715	1052105	2362	13336	36169	20202	2041	42845	21325	82147	16339	1245	12796	7613	6651	13619	57034	17331	11669	8194	9838	14991	38018	2587	1492	46844	39660	11367
Oceanospirillales	6575	36697	31232	34709	5411	54308	20175	71582	33937	13741	53383	8417	30832	17240	29664	58706	30578	5854	7786	7522	64450	39400	30239	19316	6545	54853	38021	45117	4118	19343	43301	81890	37377	3101	65291	3288	26985	31356	19088	57872	28470	33316	18244	47617	89283	9821	9263	65996	39405	46250
Oligoflexales	0	0	0	0	0	0	0	3780	0	0	0	1070	0	0	0	382	6193	0	0	0	0	0	0	0	0	0	0	3303	0	6020	0	39042	0	0	0	0	0	0	4604	0	0	0	0	0	3031	0	0	0	0	0
Opitutales	4018	6505	111486	35885	4526	31631	5199	58759	22817	4116	22106	14707	5041	7048	21428	25345	55014	1098	8319	2060	89413	8988	22585	27657	8837	25726	14179	51223	2036	74220	21641	65056	32234	1237	61602	2939	6019	25870	11863	149091	13563	11763	7302	13839	60884	3992	2243	27147	24074	78352
Oscillatoriales	6806	0	40069	6096	4498	10648	25897	360510	8181	14475	33298	53659	6735	1908585	10895	1340620	370724	3106	5088	1079	22154	13565	4699	163123	3245	6708	18108	16221	703	277963	5054	122217	7155	1761	8048	18590	3394	16862	1944460	11501	6503	5157	5975	13351	37234	3247	1313	348683	62019	8255
Parachlamydiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	372	3071	2626	0	0	0	0	0	0	556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5699	0	0	0	0	0	565	0
Parvularculales	0	0	0	0	0	0	0	0	0	0	3232	0	0	0	0	494	3235	0	0	0	2763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2901	0	3305	0	0	0	0	3570	376	0	0	3232	0
Pasteurellales	505	5689	6479	3563	1825	0	5593	3548	3760	3066	3142	1615	5033	529	381	5941	0	1871	1010	272	6517	7032	3069	0	1462	3615	3269	2690	973	545	429	0	3840	399	5349	1089	4168	4313	0	0	1513	3920	3964	8601	5861	1108	1897	10832	0	4218
