species	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Neolentinus lepideus	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	35	0	0	0	0	0	0	0	182	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neonectria ditissima	1625	3896	2468	3107	390	827253	4166	4671	1997	7067	520	477	1611	18299	337	1622	193	1596	304	697	852	8478	1629	1665	436	1509	6433	5174	342	1098	1702	783	1551	260	964	413	1895	3943	221	5318	1041	438	1263	26897	8855	930	228	3124	3091	1967
Neopestalotiopsis clavispora	256	539	947	700	93	3232	1480	393	385	1780	53	70	204	766	0	341	0	153	23	128	0	3099	415	388	0	289	3463	149	116	16	804	0	374	58	422	130	394	194	0	1359	3628	27	263	1337	601	74	18	227	274	0
Neurospora crassa	80	457	219	255	83	2005	365	282	211	826	22	0	174	708	0	0	0	0	0	96	0	408	193	66	0	201	714	0	17	17	184	0	139	24	0	56	19	0	0	564	0	0	0	746	448	28	0	0	0	0
Neurospora tetrasperma	239	1381	5844	546	190	11888	1064	906	668	2697	82	138	410	1584	638	304	163	87	21	251	149	1582	549	475	0	600	2300	543	121	241	618	0	612	133	135	172	446	0	193	1586	802	327	474	2113	1247	74	72	559	316	41
Nosema bombycis	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nosema granulosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	14	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0
Obba rivulosa	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	52	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ogataea angusta	0	0	0	20	0	0	0	263	0	13	140	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	331	53	0	18	19	0	0	0	0	0	0	0	678	30	0	148	0	0
Ogataea polymorpha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
Oidiodendron maius	10147	25676	22567	28843	2969	16344	16717	19917	11828	3765	1579	3021	9481	39673	653	17659	1629	923	1243	2930	8296	34788	14932	11416	392	3210	22267	1419	1010	6950	2735	4035	2311	1012	1331	3362	9437	7753	307	37012	1473	5177	3356	13539	22342	1701	2970	2193	16067	3692
