ordem	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CasM1	CAV1	CAV2	CBR1	COV1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	rPON1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	Vilc1	VIZ1
Pertusariales	0	0	0	0	0	0,006588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pezizales	0,042495	0,017972	0,028573	0,026145	0,019621	0,026418	0,029918	0,012477	0,014571	0,043375	0,00793	0,016976	0,013235	0,026411	0,039004	0	0	0,012429	0,006032	0,018625	0,0066	0,049897	0,020922	0,0296	0	0,011057	0,032005	0,010435	0,012062	0,011798	0,012369	0,006458	0,012502	0,015389	0	0	0,021136	0,021515	0,007293	0	0,024649	0,007689	0,01294	0,012941	0,013216	0,013694	0,012255	0,015393	0,020142	0,007634
Phaeomoniellales	0,010647	0,006519	0,010869	0,006892	0	0,012013	0,00775	0	0	0,013361	0	0	0	0,006174	0,008475	0	0	0	0	0	0	0,010582	0,006525	0,014243	0	0	0,013952	0	0	0	0,011192	0	0,074129	0,013947	0	0	0	0,006097	0	0	0,009196	0	0,005894	0	0	0,006071	0	0	0	0
Phaeotrichales	0,010909	0	0,007484	0,013369	0,005841	0,040185	0,006576	0	0,006535	0,007148	0	0,010077	0,006071	0,008791	0,017841	0	0	0	0	0	0	0,007944	0,008955	0,012779	0	0	0,009701	0	0	0	0	0	0	0	0	0	0	0	0	0	0,009119	0,006393	0,006403	0	0	0	0	0,007498	0,056607	0
Pleosporales	1,013896	0,296895	0,334985	0,27712	0,172066	0,440861	0,416465	0,125045	0,182524	0,814286	0,104269	0,199102	1,083432	0,556183	0,362584	0,361864	0,176121	1,21737	0,400598	0,319374	0,547992	0,423672	0,288211	0,502489	0,375059	0,327272	0,773787	3,193571	0,452291	0,46131	0,365795	1,364986	0,182642	0,211879	0,15666	0,110505	0,442529	0,737765	0,265786	1,33734	0,224135	0,639331	0,259971	0,736319	0,185337	0,114442	0,159233	0,251793	0,350511	0,156453
Polyporales	0,01825	0,030766	0,032989	0,017565	0,056405	0,015657	0,032396	0,012365	0,014151	0,032986	0	0,05728	0,027046	0,016993	0,02511	0,019132	0,011832	0,062446	0,027889	0,020093	0,016758	0,017766	0,010033	0,033438	0,041407	0,050741	0,022546	0,008767	0,041739	0,02914	0,014176	0,012645	0,017898	0,013903	0,020652	0,020644	0,041546	0,032213	0,024288	0,006717	0,008202	0,009984	0,024863	0,046967	0,027439	0,01559	0,037224	0,050495	0,006252	0,031011
Pucciniales	0,058833	0,368427	0,130217	0,13722	0,617346	0,006332	0,368635	0,184493	0,013657	0,012064	0	0,010875	0,174273	1,119212	0,006204	1,896621	0	0,049758	0,009435	0,497183	0,268513	0,070833	0,043943	0,020466	1,148953	0,016772	0,025205	0,021839	0,357913	0,176173	0,007643	0,619285	0,011374	0,398804	0,09152	0,018752	0,461959	0,059461	0,022485	0	0,025358	0,042021	0,162853	1,10236	0,210471	0,051659	0,035621	0,634582	0,012852	0,080131
Rhizophydiales	0	0	0,00739	0,013354	0	0	0	0	0	0	0	0	0	0	0	0,006052	0,011791	0	0	0	0	0	0,011217	0,006792	0	0	0,007435	0	0	0	0	0	0,013301	0,008953	0	0	0,008137	0	0	0	0,005764	0	0	0	0	0,006275	0	0	0,006717	0
Russulales	0	0	0	0,005504	0	0	0	0	0	0,00626	0	0,017547	0	0	0,043877	0	0	0	0	0	0	0	0	0,011823	0	0	0,00755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,02387	0	0	0	0
Saccharomycetales	0,041175	0,025513	0,037461	0,034586	0,040764	0,03674	0,029266	0,020353	0,015695	0,029426	0,010313	0,021379	0,025884	0,030577	0,035106	0,021692	0,014692	0,042695	0,015631	0,022808	0,016297	0,029479	0,025238	0,031506	0,025211	0,025903	0,030759	0,017045	0,026282	0,022679	0,018884	0,015296	0,022961	0,028245	0,016494	0,014586	0,037773	0,028122	0,019011	0,01891	0,024716	0,012802	0,021514	0,030611	0,023717	0,022077	0,026801	0,031633	0,023211	0,021945
Sebacinales	0	0	0	0	0	0	0	0	0	0	0	0,007707	0	0	0	0	0	0	0	0	0	0	0	0,011403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,052325	0	0	0	0	0	0	0	0	0	0
